"Time","Timestamp","cpu_usage","memory_usage","bandwidth_inbound","bandwidth_outbound","tps","tps_error","response_time","Status"
"2023-09-08 01:24:40","1694111080000","11.4%","54.4%","4.16 GB/s","3.82 GB/s","1.80 req/s","0 req/s","1.97 s","0"
"2023-09-08 01:24:45","1694111085000","19.0%","53.4%","7.19 GB/s","6.47 GB/s","4 req/s","0 req/s","2.14 s","0"
"2023-09-08 01:24:50","1694111090000","24.2%","60.3%","12.7 GB/s","10.8 GB/s","3 req/s","0 req/s","1.78 s","0"
"2023-09-08 01:24:55","1694111095000","3.60%","57.0%","4.27 GB/s","3.65 GB/s","1.40 req/s","0 req/s","261 ms","0"
"2023-09-08 01:25:00","1694111100000","11.4%","50.3%","3.35 GB/s","3.08 GB/s","2.40 req/s","0 req/s","786 ms","0"
"2023-09-08 01:25:05","1694111105000","27.6%","53.6%","8.99 GB/s","7.79 GB/s","3.20 req/s","0 req/s","1.18 s","0"
"2023-09-08 01:25:10","1694111110000","22.6%","50.3%","4.09 GB/s","3.63 GB/s","2 req/s","0 req/s","1.52 s","0"
"2023-09-08 01:25:15","1694111115000","40.4%","53.9%","10.1 GB/s","9.44 GB/s","3.40 req/s","0.200 req/s","3.16 s","1"
"2023-09-08 01:25:20","1694111120000","34.4%","54.5%","8.16 GB/s","7.25 GB/s","3.60 req/s","0 req/s","4.23 s","0"
"2023-09-08 01:25:25","1694111125000","33.6%","54.9%","10.8 GB/s","9.25 GB/s","3 req/s","0 req/s","2.18 s","0"
"2023-09-08 01:25:30","1694111130000","16.0%","55.4%","6.70 GB/s","5.80 GB/s","2.20 req/s","0 req/s","653 ms","0"
"2023-09-08 01:25:35","1694111135000","16.8%","54.8%","10.7 GB/s","9.83 GB/s","2.80 req/s","0 req/s","774 ms","0"
"2023-09-08 01:25:40","1694111140000","18.6%","51.0%","7.96 GB/s","6.32 GB/s","1.60 req/s","0 req/s","1.10 s","0"
"2023-09-08 01:25:45","1694111145000","11.4%","53.7%","8.42 GB/s","7.24 GB/s","1.80 req/s","0 req/s","687 ms","0"
"2023-09-08 01:25:50","1694111150000","18.0%","53.6%","4.63 GB/s","4.29 GB/s","3 req/s","0 req/s","2.13 s","0"
"2023-09-08 01:25:55","1694111155000","20.0%","59.7%","9.44 GB/s","8.10 GB/s","1.80 req/s","0 req/s","734 ms","0"
"2023-09-08 01:26:00","1694111160000","4.20%","54.2%","747 MB/s","697 MB/s","1.80 req/s","0 req/s","459 ms","0"
"2023-09-08 01:26:05","1694111165000","9.00%","51.8%","5.47 GB/s","5.36 GB/s","2 req/s","0 req/s","476 ms","0"
"2023-09-08 01:26:10","1694111170000","16.6%","53.1%","5.63 GB/s","4.29 GB/s","2.20 req/s","0 req/s","1.29 s","0"
"2023-09-08 01:26:15","1694111175000","15.2%","54.2%","8.55 GB/s","8.27 GB/s","3.20 req/s","0 req/s","1.59 s","0"
